,Company,Domain name,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,company
0,Agropur,agropur.com,0.0,0.0,0.0,domains
1,Bothwell Cheese,bothwellcheese.com,1.0,1.0,1.0,domains
2,Canyon Creek Food Company,canyoncreekfood.com,2.0,2.0,2.0,domains
3,Cara Operations,cara.com,3.0,3.0,3.0,domains
4,Chapman's,chapmans.ca,4.0,4.0,4.0,domains
5,Cott,cott.com,5.0,5.0,5.0,domains
6,Daiya,daiyafoods.com,6.0,6.0,6.0,domains
7,Dan-D Foods,dan-d-pak.com,7.0,7.0,7.0,domains
8,Dare Foods,darefoods.com,8.0,8.0,8.0,domains
9,Earth's Own Food Company Inc.,earthsown.com,9.0,9.0,9.0,domains
10,Gay Lea,gaylea.com,10.0,10.0,10.0,domains
11,George Weston Limited,weston.ca,11.0,11.0,11.0,domains
12,Jim Pattison Group,jimpattison.com,12.0,12.0,12.0,domains
