description,publishedAt,source,title,url,company
"These are the stories making headlines in fashion on Monday. Sears files for bankruptcySears, the once-dominant retail chain that changed how Americans shopped, filed for Chapter 11 bankruptcy Monday morning. Over the last decade, the company has built up mas…",2018-10-15T16:00:00Z,"{'id': None, 'name': 'Fashionista.com'}","Must Read: Sears Files for Bankruptcy, 'RuPaul's Drag Race' Winner Aquaria Signs with IMG",https://fashionista.com/2018/10/sears-filing-bankruptcy-2018,Cara Operations
"Online, Mobile The Als Association Advertising Agency: BWM Dentsu, Sydney, Australia Chief Creative Officer: Rob Belgiovane Executive Creative Director: Asheen Naidu Senior Creative: Oskar Westerdal, Rene Schultz Film Producer: Emma Durlacher Design Director:…",2018-09-26T10:09:22Z,"{'id': None, 'name': 'Adeevee.com'}",The ALS Association: Project Revoice,http://www.adeevee.com/2018/09/the-als-association-project-revoice-online-mobile/,Cara Operations
Activist investor Trian Fund Management disclosed a new stake in PPG and plans to push for changes at the paint maker.,2018-10-09T22:47:57Z,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",Activist Trian Fund Takes 2.9% Stake in Paint Company PPG,https://www.wsj.com/articles/activist-investor-trian-takes-2-9-stake-in-ppg-1539117961,Cara Operations
"Restaurant company Recipe Unlimited, which owns many popular chains, has been told to pay ransom in bitcoin to retrieve data that hackers claim to have stolen. The company says the threat isn't real because its systems are protected.",2018-10-03T08:00:00Z,"{'id': 'cbc-news', 'name': 'CBC News'}",Hackers demand bitcoin ransom in cyberattack on big Canadian restaurants,https://www.cbc.ca/news/business/ransomware-hack-recipe-unlimited-restaurant-cyberattack-1.4847487,Cara Operations
Hedge fund D.E. Shaw has boosted its stake in Bunge and joined Continental Grain in pushing the grain trader to make operational improvements or add board members.,2018-10-08T19:14:39Z,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}",Two Funds Push for Change at Bunge,https://www.wsj.com/articles/d-e-shaw-joins-continental-grain-in-pushing-for-change-at-bunge-1539024275,Cara Operations
Seven straightforward steps to help you invest in high-growth -- but high-risk -- marijuana stocks.,2018-10-12T16:45:00Z,"{'id': None, 'name': 'Fool.com'}",How to Invest in Marijuana Stocks,https://www.fool.com/investing/2018/10/12/how-to-invest-in-marijuana-stocks.aspx,Cara Operations
"Probablemente en la NFL de 2018 habrían acabado en el cuartelillo el defensa, el coordinador defensivo y hasta el fotógrafo, pero no deja de ser una instantánea mágica.",2018-09-27T21:10:11Z,"{'id': None, 'name': 'As.com'}",Mi foto favorita de NFL llegó un segundo antes de la tragedia,https://as.com/masdeporte/2018/09/27/nfl/1538081918_912029.html,Cara Operations
"Some restaurant locations were temporarily shut down due to the IT outage, others continued to serve customers.",2018-10-02T21:46:05Z,"{'id': None, 'name': 'Zdnet.com'}",Restaurant chain suffers Canada-wide outage after malware outbreak,https://www.zdnet.com/article/restaurant-chain-suffers-canada-wide-outage-after-malware-outbreak/,Cara Operations
Looking for a marijuana stocks list with key data included? Look no further.,2018-10-16T15:15:00Z,"{'id': None, 'name': 'Fool.com'}",Marijuana Stocks to Watch in October -- and Into 2019,https://www.fool.com/investing/2018/10/16/marijuana-stocks-to-watch-in-october-and-2019.aspx,Cara Operations
"As temperatures warm and the evenings get longer, Kiwi gardeners are writing their to-do lists.",2018-09-21T00:40:31Z,"{'id': None, 'name': 'Stuff.co.nz'}","Bees, bright colours the buzzwords in gardening",https://www.stuff.co.nz/life-style/homed/garden/107244834/Bees-bright-colours-the-buzzwords-in-gardening,Cara Operations
"Berita Kejahatan Siber Kian Masif, Teknik Ini Diklaim Efektif untuk Deteksi terbaru hari ini 2018-09-22 00:23:05 dari sumber yang terpercaya",2018-09-21T17:23:05Z,"{'id': None, 'name': 'Viva.co.id'}","Kejahatan Siber Kian Masif, Teknik Ini Diklaim Efektif untuk Deteksi",https://www.viva.co.id/digital/digilife/1077229-kejahatan-siber-kian-masif-teknik-ini-diklaim-efektif-untuk-deteksi,Cara Operations
"Chegam de noite aos centros de tratamento para não serem vistos pelas comunidades onde vivem e, por vezes, chegam tarde demais. Nenhuma doença é tão estigmatizante no Níger como a cólera. E todos os meios são poucos para tentar controlar a crise",2018-09-21T07:00:59Z,"{'id': None, 'name': 'Sapo.pt'}",A cólera da vergonha,https://expresso.sapo.pt/internacional/2018-09-21-A-colera-da-vergonha,Cara Operations
"The JAMA Network is a consortium of peer-reviewed print and online medical publications that includes JAMA®, JAMA Network Open, and 11 other specialty journals. JAMA does not hold itself responsible for statements made by any contributor. All articles publish…",2018-10-02T00:00:00Z,"{'id': None, 'name': 'Jamanetwork.com'}",JAMA,https://jamanetwork.com/journals/jama/fullarticle/2705193,Cara Operations
"Claudia Martinez knows that she may not look like the picture of health to the patients she sees. The third-year medical student has undergone multiple operations for Chiari malformation, a rare condition in which the brain presses down on the spinal cord. Sh…",2018-10-08T23:05:33Z,"{'id': None, 'name': 'Nypost.com'}",Personal health battles made these doctors better at their jobs,https://nypost.com/2018/10/08/personal-health-battles-made-these-doctors-better-at-their-jobs/,Cara Operations
"The JAMA Network is a consortium of peer-reviewed print and online medical publications that includes JAMA®, JAMA Network Open, and 11 other specialty journals. JAMA does not hold itself responsible for statements made by any contributor. All articles publish…",2018-09-25T00:00:00Z,"{'id': None, 'name': 'Jamanetwork.com'}",JAMA,https://jamanetwork.com/journals/jama/fullarticle/2703362,Cara Operations
Learn about the marijuana stocks listed on the Nasdaq.,2018-10-09T20:03:00Z,"{'id': None, 'name': 'Investopedia.com'}",Top Marijuana Stocks on the NASDAQ,https://www.investopedia.com/investing/top-marijuana-stocks-nasdaq/,Cara Operations
"The JAMA Network is a consortium of peer-reviewed print and online medical publications that includes JAMA®, JAMA Network Open, and 11 other specialty journals. JAMA does not hold itself responsible for statements made by any contributor. All articles publish…",2018-10-09T00:00:00Z,"{'id': None, 'name': 'Jamanetwork.com'}",JAMA,https://jamanetwork.com/journals/jama/fullarticle/2706143,Cara Operations
"The JAMA Network is a consortium of peer-reviewed print and online medical publications that includes JAMA®, JAMA Network Open, and 11 other specialty journals. JAMA does not hold itself responsible for statements made by any contributor. All articles publish…",2018-10-16T00:00:00Z,"{'id': None, 'name': 'Jamanetwork.com'}",JAMA,https://jamanetwork.com/journals/jama/fullarticle/2707466,Cara Operations
"The series puts relationships through the ultimate test of trust by asking pairs of friends, family members and couples to design tattoos for one another that won't be revealed until after they've been permanently inked.",2018-09-26T11:16:00Z,"{'id': None, 'name': 'Thefutoncritic.com'}","MTV's ""How Far Is Tattoo Far?"" Premieres Thursday, October 11th at 9PM ET/PT",http://www.thefutoncritic.com/news/2018/09/26/mtvs-how-far-is-tattoo-far-premieres-thursday-october-11th-at-9pm-et-pt-730511/20180926mtv01/,Cara Operations
Berita Tips Ampuh Menjual Properti di Tengah Krisis terbaru hari ini 2018-10-04 18:43:04 dari sumber yang terpercaya,2018-10-04T11:43:04Z,"{'id': None, 'name': 'Viva.co.id'}",Tips Ampuh Menjual Properti di Tengah Krisis,https://www.viva.co.id/berita/bisnis/1081385-tips-ampuh-menjual-properti-di-tengah-krisis,Cara Operations
